,Date,Open,High,Low,Close,Volume,Change,C-Close,C-Change,I-Close,I-Change,Difference,C-Difference,I-Difference
1,2022-06-29,2095,2110,2090,2100,128828,0.4784688995215311,1301.9,0.76157453988206,11177.89,-0.032643088519125764,10,9.840000000000146,-3.650000000001455
2,2022-06-30,2140,2185,2100,2125,143166,1.1904761904761905,1287.51,-1.1053076273139335,11028.74,-1.334330540021414,25,-14.3900000000001,-149.14999999999964
3,2022-07-01,2125,2130,2105,2125,69900,0.0,1298.67,0.8667893841601293,11127.84,0.8985613950460375,0,11.160000000000082,99.10000000000036
4,2022-07-05,2110,2125,2110,2120,37606,-0.2352941176470588,1308.95,0.7915790770557549,11322.24,1.746969762325839,-5,10.279999999999973,194.39999999999964
