Date,MACD,BOL_H,BOL_L,ma_5,ma_20,ma_60,ma_120
1998-05-04,0.5207481229602428,0.0014559346623529389,0.0064572212568288385,,,,
1998-05-06,0.5206541477948345,0.0015175029469091713,0.006240395019783476,,,,
1998-05-07,0.5208921181040679,0.0018502117886828456,0.006120073126069261,,,,
1998-05-08,0.5208603696401237,0.0017947972114395437,0.006153700568787297,,,,
1998-05-11,0.5206462659922014,0.0017907791046373155,0.00602392233551753,0.0022783725910064242,,,
1998-05-12,0.51973196628556,0.002193943351221894,0.0050776078503305105,0.002015703069236259,,,
1998-05-13,0.5182794992931031,0.0026022204788202184,0.003931838622749083,0.0015703069236259809,,,
1998-05-14,0.5173576093724749,0.0025899432717042085,0.0035186588031375313,0.0010906495360456818,,,
1998-05-15,0.5164574178080023,0.0025728860374018055,0.003132089563131742,0.0006167023554603844,,,
1998-05-18,0.5165650953950971,0.002447255852329319,0.0031893455992985644,0.00039971448965024896,,,
1998-05-19,0.5167420726511369,0.0023408742857883823,0.003252979204098323,0.000411134903640256,,,
1998-05-20,0.517363571853432,0.002298505330364525,0.0033637553170029946,0.0007537473233404706,,,
1998-05-21,0.5178563847968082,0.002254009079851063,0.00345990291147227,0.0010278372591006413,,,
1998-05-22,0.5179649194512687,0.00218275538354327,0.0035129527670341755,0.0012847965738758032,,,
1998-05-25,0.5175219060279196,0.002131343385028959,0.0034319870163580218,0.0011648822269807275,,,
1998-05-26,0.5167743929309114,0.0021338956977410145,0.003221277589483514,0.0009136331192005709,,,
1998-05-27,0.5166385209932046,0.0020774382542089794,0.0031774766051513876,0.0006509635974304056,,,
1998-05-28,0.5165462146771518,0.002024566703819994,0.003136110361738306,0.0003882940756602419,,,
1998-05-29,0.5172082072036974,0.0019885418087614987,0.0031969974040391095,0.0004054246966452525,,,
1998-06-01,0.5175179647552208,0.0019394308984389142,0.0032330490944874075,0.0005082084225553176,0.0009029798334503868,,
1998-06-02,0.5172703851136659,0.0017936840058056392,0.0031697185972550546,0.0005881513204853668,0.0007908450828911871,,
1998-06-03,0.5173775409125982,0.001640933291226684,0.003169287853107294,0.0006281227694503915,0.0007082194772159885,,
1998-06-05,0.5176102247499828,0.001361452057727277,0.003286831284387906,0.0007080656673804425,0.0006078883846103913,,
1998-06-08,0.5178732310698689,0.0011202404029485996,0.003399672644821213,0.0006052819414703774,0.000525262778935191,,
1998-06-09,0.5178178693266505,0.0009007425392527288,0.0034706835157258357,0.000491077801570307,0.00044263717325999236,,
1998-06-10,0.5178078879453095,0.00086607735092099,0.0034397302767709536,0.0005253390435403281,0.00040722619939919345,,
1998-06-11,0.5178335747264804,0.0008503772040093973,0.003501526029433594,0.000491077801570307,0.00042493168632959377,,
1998-06-12,0.5177643376196629,0.0008517556870163805,0.0034955084462807533,0.0003825838686652384,0.00042493168632959377,,
1998-06-15,0.5175234579300265,0.0008558440395365838,0.0034856812477174273,0.00020556745182012757,0.00042493168632959377,,
1998-06-16,0.5171385878707556,0.0008732941112537165,0.0033068190689572122,4.5681655960028156e-05,0.0003482079096311947,,
1998-06-17,0.5172990311085048,0.0008234119079643751,0.003264819018552502,0.0,0.000300993277816795,,
1998-06-18,0.5180238055056446,0.0006854559154012597,0.003345063821419709,0.00011420413990007126,0.0002596804749791966,,
1998-06-19,0.5183734565648762,0.0005036740121728712,0.0034434466098946515,0.00019414703783012053,0.00020656401418799736,,
1998-06-22,0.5185804862623459,0.00040251660445054724,0.003480493313084764,0.00030835117773019265,0.00017115304032719672,,
1998-06-23,0.5185671834681982,0.00039766196807335466,0.0034597959649595132,0.00042826552462526656,0.00015934938237359766,,
1998-06-24,0.5185039834040556,0.00038015566720091785,0.00350925689111258,0.000411134903640256,0.00017115304032719672,,
1998-06-25,0.5184636984172147,0.00038069195282549803,0.003472803876655675,0.00023411848679514517,0.00015344755339679814,,
1998-06-26,0.5185031140780386,0.00037972755283640497,0.0034500536819498002,0.00013704496788008533,0.00014164389544319735,,
1998-06-29,0.518686241620053,0.00022570534594308807,0.003520877035917169,0.00010278372591006422,8.852743465199812e-05,,
1998-06-30,0.518836871330731,0.000140270287554832,0.0035470089524427054,0.00011991434689507478,5.901828976799875e-05,,
1998-07-01,0.5190216113509956,0.00014438979315765064,0.003555999638466978,0.00017130620985010645,6.492011874479828e-05,,
1998-07-02,0.5191737683988153,0.00012205521115561668,0.003553936667418175,0.00022269807280513813,4.7214631814399693e-05,,
1998-07-03,0.5193231787538612,7.453104759330698e-05,0.0035663603467712933,0.000268379728765168,2.9509144883999375e-05,,
1998-07-06,0.5194278756919568,6.314916065027973e-06,0.0035917617895596613,0.000268379728765168,5.901828976799528e-06,,
1998-07-07,0.5195249487604736,0.0,0.0035897476831766133,0.00027408993576017154,0.0,,
1998-07-08,0.5201420205676416,0.00012175513249839363,0.0035184654664676303,0.000411134903640256,3.54109738607989e-05,,
1998-07-09,0.5201665985847124,0.00012175513249839363,0.0035184654664676303,0.00042255531763026304,3.54109738607989e-05,,
1998-07-10,0.5201924819243037,0.00012968280844506165,0.003528013571163972,0.0004339757316202701,4.131280283759843e-05,,
1998-07-13,0.5197206160213073,0.00015148817646873196,0.0034785337967067256,0.00030835117773019265,2.9509144883999375e-05,,
1998-07-14,0.5194892921735105,0.00011574713716880174,0.003551914529074718,0.00022269807280513813,4.7214631814399693e-05,,
1998-07-15,0.5197881911408969,0.00013470488234510782,0.003567997300526638,0.00011991434689507478,6.492011874479828e-05,,
