,Date,Open,High,Low,Close,Volume,Change,C-Close,C-Change,Difference,C-Difference
124,1998-10-30,1829,1867,1821,1829,243080,2.121719709659408,1319.5,0.3803727653100038,38,5.0
125,1998-11-02,1981,2126,1928,2058,1006010,12.520503007107708,1319.0,-0.037893141341417205,229,-0.5
126,1998-11-03,2050,2134,2012,2043,782550,-0.7288629737609329,1314.5,-0.3411675511751327,-15,-4.5
127,1998-11-04,2050,2141,1988,2142,870540,4.845814977973569,1311.75,-0.20920502092050208,99,-2.75
128,1998-11-05,2194,2309,2095,2142,1346320,0.0,1316.0,0.3239946636173051,0,4.25
129,1998-11-06,2218,2363,2134,2134,1778710,-0.3734827264239029,1311.5,-0.34194528875379937,-8,-4.5
130,1998-11-09,2134,2389,2111,2389,1631500,11.949390815370196,1314.9,0.25924513915364783,255,3.400000000000091
131,1998-11-10,2436,2584,2145,2225,2118090,-6.864796986186689,1316.5,0.12168225720586424,-164,1.599999999999909
132,1998-11-11,2135,2173,2073,2119,705950,-4.764044943820225,1315.35,-0.08735282947209198,-106,-1.150000000000091
133,1998-11-12,2150,2172,2019,2043,631800,-3.5865974516281263,1316.8,0.11023681909758205,-76,1.4500000000000455
134,1998-11-13,2141,2172,2057,2111,787070,3.3284385707293196,1317.0,0.01518833535844817,68,0.20000000000004547
135,1998-11-16,2271,2325,2179,2233,707400,5.779251539554713,1316.25,-0.05694760820045558,122,-0.75
136,1998-11-17,2233,2271,2172,2187,572240,-2.0600089565606807,1297.5,-1.4245014245014245,-46,-18.75
137,1998-11-18,2248,2264,2134,2187,466100,0.0,1295.0,-0.1926782273603083,0,-2.5
138,1998-11-19,2187,2256,2141,2248,615380,2.7892089620484684,1287.0,-0.6177606177606177,61,-8.0
139,1998-11-20,2270,2362,2210,2210,823810,-1.6903914590747333,1263.0,-1.8648018648018647,-38,-24.0
140,1998-11-23,2378,2507,2370,2386,1336790,7.963800904977375,1244.0,-1.5043547110055424,176,-19.0
141,1998-11-24,2438,2473,2325,2386,680770,0.0,1255.0,0.8842443729903537,0,11.0
142,1998-11-25,2515,2671,2515,2671,1760660,11.944677284157585,1250.0,-0.398406374501992,285,-5.0
143,1998-11-26,2820,2873,2561,2652,2477700,-0.711344065892924,1241.5,-0.6799999999999999,-19,-8.5
144,1998-11-27,2660,2676,2508,2591,690510,-2.3001508295625945,1243.0,0.12082158679017317,-61,1.5
145,1998-11-30,2790,3121,2714,2980,2385270,15.01350829795446,1246.0,0.2413515687851971,389,3.0
146,1998-12-01,3033,3239,2980,3079,1758900,3.3221476510067114,1244.5,-0.1203852327447833,99,-1.5
147,1998-12-02,3079,3086,2827,2828,840410,-8.151997401753816,1238.5,-0.48212133386902367,-251,-6.0
148,1998-12-03,2828,3003,2820,2873,816030,1.5912305516265914,1227.5,-0.8881711748082357,45,-11.0
149,1998-12-04,2934,3080,2889,3011,1143050,4.803341454925166,1214.8,-1.0346232179226107,138,-12.700000000000045
150,1998-12-07,3597,3872,3506,3872,1560400,28.595151112587182,1208.5,-0.518603885413233,861,-6.2999999999999545
151,1998-12-08,4451,4451,4116,4451,2057020,14.953512396694215,1215.0,0.5378568473314025,579,6.5
152,1998-12-09,4420,5106,4276,4725,3326020,6.1559200179734885,1215.0,0.0,274,0.0
153,1998-12-10,5030,5296,4801,5297,2474430,12.105820105820106,1206.5,-0.6995884773662552,572,-8.5
154,1998-12-11,4801,5792,4763,5335,2388730,0.7173872003020577,1207.5,0.08288437629506838,38,1.0
155,1998-12-14,5724,6136,5587,6135,1406520,14.995313964386128,1203.5,-0.33126293995859213,800,-4.0
156,1998-12-15,7050,7050,7050,7050,528640,14.91442542787286,1211.5,0.6647278770253428,915,8.0
157,1998-12-16,8079,8079,5998,6326,2911220,-10.269503546099292,1208.75,-0.2269913330581923,-724,-2.75
158,1998-12-17,5412,5945,5381,5381,836980,-14.938349668036674,1209.55,0.06618407445708,-945,0.7999999999999545
159,1998-12-18,5381,5563,4580,4916,2047530,-8.641516446757109,1208.25,-0.10747798768136535,-465,-1.2999999999999545
160,1998-12-21,5641,5648,5335,5648,1281390,14.890154597233524,1194.0,-1.1793916821849781,732,-14.25
161,1998-12-22,5724,6029,5106,5221,1824240,-7.560198300283286,1202.0,0.6700167504187605,-427,8.0
162,1998-12-23,5564,5640,4649,5183,1057710,-0.7278299176402988,1206.5,0.37437603993344426,-38,4.5
163,1998-12-24,5182,5563,4953,5320,1081370,2.6432568010804554,1207.3,0.06630750103605094,137,0.7999999999999545
164,1998-12-28,5412,5572,5335,5488,880290,3.1578947368421053,1209.25,0.16151743560010318,168,1.9500000000000455
165,1999-01-04,5673,6303,5596,6304,1348190,14.868804664723031,1186.25,-1.9020053752325823,816,-23.0
166,1999-01-05,6295,6529,5845,6218,1549180,-1.364213197969543,1164.5,-1.833508956796628,-86,-21.75
167,1999-01-06,6210,6295,5923,6070,1005630,-2.3801865551624317,1157.5,-0.6011163589523401,-148,-7.0
168,1999-01-07,6218,6374,5946,5954,1188120,-1.9110378912685337,1149.5,-0.6911447084233261,-116,-8.0
169,1999-01-08,5907,6218,5829,5985,1172020,0.5206583809203896,1172.5,2.0008699434536754,31,23.0
170,1999-01-11,6062,6179,5845,6024,1102050,0.6516290726817042,1172.5,0.0,39,0.0
171,1999-01-12,6179,6226,5705,5752,1349110,-4.51527224435591,1175.0,0.21321961620469082,-272,2.5
172,1999-01-13,5712,5891,5448,5659,1310820,-1.6168289290681501,1173.5,-0.1276595744680851,-93,-1.5
173,1999-01-14,5440,5440,4827,4936,910880,-12.776108853154266,1186.0,1.0651896037494673,-723,12.5
174,1999-01-15,4812,5317,4812,5293,1177100,7.23257698541329,1183.5,-0.21079258010118043,357,-2.5
175,1999-01-18,5635,5667,5285,5332,824780,0.736822218023805,1181.25,-0.19011406844106463,39,-2.25
176,1999-01-19,5138,5984,5130,5519,1457140,3.5071267816954235,1175.3,-0.5037037037037075,187,-5.9500000000000455
177,1999-01-20,5596,5596,5129,5130,594870,-7.048378329407501,1166.5,-0.7487450012762661,-389,-8.799999999999955
178,1999-01-21,5129,5168,4594,4664,841010,-9.083820662768032,1172.75,0.5357908272610373,-466,6.25
179,1999-01-22,4585,4896,4298,4586,971350,-1.6723842195540308,1179.75,0.5968876572159454,-78,7.0
180,1999-01-25,4819,4857,4585,4586,947280,0.0,1179.5,-0.021190930281839375,0,-0.25
181,1999-01-26,4702,4819,4197,4205,841310,-8.307893589184474,1175.5,-0.3391267486222976,-381,-4.0
182,1999-01-27,4212,4500,3972,4407,1202340,4.803804994054697,1174.75,-0.06380263717566993,202,-0.75
183,1999-01-28,4445,4508,4275,4353,890470,-1.2253233492171545,1175.4,0.05533092147266149,-54,0.650000000000091
184,1999-01-29,4352,4702,4344,4586,1061640,5.352630369859867,1175.0,-0.03403096818105249,233,-0.40000000000009095
185,1999-02-01,4585,4896,4430,4819,1311350,5.080680331443524,1174.75,-0.02127659574468085,233,-0.25
186,1999-02-02,4827,4873,4586,4710,938350,-2.261880058103341,1170.0,-0.40434134922323894,-109,-4.75
187,1999-02-03,4741,4857,4585,4664,890160,-0.9766454352441614,1170.3,0.025641025641021754,-46,0.2999999999999545
188,1999-02-04,4819,4819,4399,4508,510810,-3.3447684391080617,1170.5,0.01708963513629373,-156,0.20000000000004547
189,1999-02-05,4547,4648,4407,4531,530750,0.5102040816326531,1170.1,-0.03417343015805988,23,-0.40000000000009095
190,1999-02-08,4571,4617,4430,4438,353330,-2.0525270359743986,1175.75,0.4828647124177499,-93,5.650000000000091
191,1999-02-09,4284,4361,3894,4042,559860,-8.922938260477693,1175.5,-0.021263023601956196,-396,-0.25
192,1999-02-10,4119,4624,4026,4469,1181200,10.564077189510144,1177.7,0.18715440238196898,427,2.2000000000000455
