Date,Open,High,Low,Close,Volume,Change,C-Close,C-Change,I-Close,I-Change,Difference,C-Difference,I-Difference,MFI,ADI,OBV,MACD,CCI,RSI,BOL_H,BOL_L,ma_5,ma_20,ma_60,ma_120
2007-02-07,55313,57268,55215,56780,1963676,3.198836786623046,933.65,0.06966773847802543,2490.5,0.7691716333062331,1760,0.6499999999999773,19.01000000000022,64.10104945309251,1196970.327799817,3476765,-24.427109929420112,307.8410396918366,69.49681411969338,55265.10821239049,49821.19178760951,54161.0,52543.0,53101.0,53101.0
2007-02-08,56975,57072,55313,55607,772869,-2.065868263473054,935.05,0.14994912440421757,2488.67,-0.07347922103994889,-1173,1.3999999999999773,-1.8299999999999272,57.05597713832235,682456.6274018637,2703896,142.39162931571627,207.5226454477811,60.781413157836475,55730.657039811704,49668.342960188296,54942.0,52700.0,53198.0,53198.0
2007-02-09,55411,56975,54434,56389,1199741,1.4062977682665851,934.6,-0.04812576867546461,2459.82,-1.159253737940342,782,-0.4499999999999318,-28.84999999999991,47.95586968292492,1328834.2067013523,3903637,333.84914149562974,159.875331871176,64.02083140257898,56312.290681805534,49448.30931819447,55607.0,52880.0,53316.0,53316.0
2007-02-12,55606,57756,55606,57464,1323938,1.9064001844331342,937.7,0.3316927027605417,2450.38,-0.3837679179777404,1075,3.1000000000000227,-9.440000000000055,58.27103854397094,2293153.6987943756,5227575,565.8019029870629,165.59182584614584,67.94105391875024,57091.844078951246,49167.155921048754,56252.0,53130.0,53464.0,53464.0
2007-02-13,57854,58734,57072,57464,1589503,0.0,939.6,0.20262344033272656,2459.88,0.38769496975979234,0,1.8999999999999773,9.5,71.22782228031734,1453452.3546307173,6817078,741.0833895916076,159.83532939948233,67.94105391875024,57752.55069324432,49014.64930675568,56741.0,53384.0,53602.0,53602.0
2007-02-14,58636,58734,57756,58343,1306850,1.5296533481832104,938.45,-0.12239250744997629,2488.38,1.1585931021025415,879,-1.1499999999999773,28.5,72.93577007536285,1715356.8536082224,8123928,940.0864530043909,148.32496348185802,70.94335874428435,58483.43801006238,49006.96198993761,57053.0,53745.0,53760.0,53760.0
2007-02-15,58538,58636,57365,57952,894127,-0.6701746567711636,934.8,-0.3889392082689638,2497.1,0.3504287930299954,-391,-3.650000000000091,8.7199999999998,68.07569212277598,1647118.9944422115,7229801,1054.096414903237,120.71560528951933,67.89735142665697,59006.69666834088,49158.003331659114,57522.0,54082.0,53895.0,53895.0
2007-02-16,57463,58147,56877,58050,1055082,0.1691054665930425,936.4,0.17115960633290786,2496.31,-0.03163669857034014,98,1.6000000000000227,-0.7899999999999636,65.39821442794664,2541030.988142999,8284883,1139.225628186905,98.62667645175563,68.26513292827323,59466.57372914784,49362.62627085215,57855.0,54415.0,54025.0,54025.0
2007-02-20,58050,58147,57463,57659,661883,-0.673557278208441,938.4,0.21358393848782573,2513.04,0.6701891992581057,-391,2.0,16.730000000000018,69.55827078869142,2258472.748376917,7623000,1161.7487938286795,89.7954642825866,65.0624440228188,59824.44592499497,49542.254075005025,57894.0,54683.0,54135.0,54135.0
2007-02-21,58050,59125,57952,58539,1163797,1.5262144678194212,938.45,0.005328218243826535,2518.42,0.2140833412918262,880,0.05000000000006821,5.380000000000109,74.03168831387882,2259464.9026821177,8786797,1236.355276381888,100.00804436813776,68.62963222846196,60243.64737512139,49797.45262487861,58109.0,55021.0,54265.0,54265.0
2007-02-22,58831,60004,58538,59516,1053397,1.6689728215377782,938.85,0.042623474878787065,2524.94,0.2588924802058426,977,0.39999999999997726,6.519999999999982,74.89475468318497,2611555.3051377796,9840194,1358.6554518707853,111.0710915083662,72.04256267189233,60781.90556214926,50001.894437850744,58343.0,55392.0,54415.0,54415.0
2007-02-23,59418,59515,58050,59223,852753,-0.49230459036225555,938.1,-0.07988496564946478,2515.1,-0.3897122307856878,-293,-0.75,-9.840000000000146,69.30295781995196,3124371.273055868,8987441,1415.6182052951772,91.58893988913245,69.5971235391935,61177.07762579867,50300.622374201324,58597.0,55739.0,54548.0,54548.0
2007-02-26,58636,59125,58050,58343,601454,-1.485909190686051,938.75,0.06928898838076722,2504.52,-0.42065921832133624,-880,0.6499999999999773,-10.579999999999927,64.78220605937612,2850779.6395674963,8385987,1373.9153117639216,74.74389431842296,62.711909229905864,61382.46842372117,50662.03157627883,58656.0,56022.0,54651.0,54651.0
2007-02-27,58831,60297,58245,59320,1046299,1.6745796410880482,938.9,0.015978695073233264,2407.86,-3.8594221647261695,977,0.14999999999997726,-96.65999999999985,65.47212061579958,2900749.0849865996,9432286,1403.5222719686135,90.92870038927813,66.6559475632726,61629.23952940804,51118.860470591964,58988.0,56374.0,54774.0,54774.0
2007-02-28,56779,58440,56779,58343,1072161,-1.6469993256911664,941.7,0.29822132282458924,2416.15,0.34428911979932236,-977,2.800000000000068,8.289999999999964,56.13698833661296,3847684.778544697,8360125,1332.7867305680993,42.52586606849293,59.839704005579,61576.905567431604,51825.99443256839,58949.0,56701.0,54865.0,54865.0
2007-03-02,58343,58343,57072,57170,2113226,-2.010523970313491,943.0,0.13804821068280285,2368.0,-1.9928398485193424,-1173,1.2999999999999545,-48.15000000000009,51.37589461853295,2060337.8469947362,6246899,1168.6060445070834,25.014492724635215,52.8516979922059,61128.1811659701,52890.3188340299,58480.0,57009.0,54923.0,54923.0
2007-03-05,56290,57170,55509,55802,1207632,-2.3928633898898024,951.45,0.8960763520678733,2340.68,-1.1537162162162231,-1368,8.450000000000045,-27.320000000000164,51.33606002763889,1278757.834953797,5039267,917.5287999349821,-45.876267368227026,46.09152676515837,60597.759177417836,53831.14082258216,57796.0,57214.0,54944.0,54944.0
2007-03-06,55802,58440,55802,57855,1180970,3.6790796028816173,947.6,-0.40464554101634587,2385.14,1.8994480236512485,2053,-3.8500000000000227,44.460000000000036,50.93023102084876,1935946.5991691116,6220237,874.1317701427761,1.1542933189754576,55.32651101328419,60257.03559429432,54650.76440570568,57698.0,57454.0,55014.0,55014.0
2007-03-07,58636,58831,57170,57952,1214417,0.16766053063693717,948.65,0.11080624736175121,2374.64,-0.44022573098434475,97,1.0499999999999545,-10.5,49.7573925117594,1865026.4010956618,7434654,837.9075243495317,31.186654703752318,55.71254656607826,60027.48002200646,55251.61997799355,57424.0,57640.0,55082.0,55082.0
2007-03-08,58147,58831,57952,58636,699317,1.180287134180011,947.9,-0.07905971643915037,2387.73,0.5512414513357875,684,-0.75,13.090000000000146,47.695817202057235,2254066.2338601667,8133971,854.5420038636585,62.45439272320011,58.439791833259974,59917.4025291465,55723.2974708535,57483.0,57820.0,55163.0,55163.0
2007-03-09,58929,59125,57072,57855,943883,-1.3319462446278736,945.85,-0.21626753876990765,2387.55,-0.007538540789780934,-781,-2.0499999999999545,-0.1799999999998363,47.53454373266124,2030164.1291353737,7190088,795.534351017297,18.51894598666459,54.32610107610983,59916.12046023044,55832.079539769555,57620.0,57874.0,55222.0,55222.0
2007-03-12,57756,57952,57072,57268,554468,-1.0146054792152797,943.9,-0.20616376803933453,2402.29,0.6173692697535038,-587,-1.9500000000000455,14.739999999999782,49.19001370775822,1722686.4200444645,6635620,693.4111546161075,-47.19487258793443,51.39764986532855,59742.58588795558,56171.71411204442,57913.0,57957.0,55267.0,55267.0
2007-03-13,57659,57756,56584,56877,535314,-0.6827547670601384,944.55,0.06886322703675996,2350.57,-2.1529457309483786,-391,0.6499999999999773,-51.7199999999998,45.017834700248365,1455029.4200444645,6100306,574.3070986936291,-98.71204198347365,49.48419040940358,59692.37605486348,56270.723945136524,57718.0,57982.0,55301.0,55301.0
2007-03-14,56095,56290,55509,55900,604866,-1.7177417936951667,946.2,0.17468635858346207,2371.74,0.900632612515246,-977,1.650000000000091,21.169999999999618,38.36171811761653,1455803.8963568844,5495440,396.5098229857758,-207.09846084592928,44.978291468674016,59830.90371131383,55975.796288686164,57307.0,57903.0,55314.0,55314.0
2007-03-15,56193,56779,54922,55020,1095761,-1.5742397137745976,944.5,-0.17966603255126246,2378.7,0.2934554377798594,-880,-1.7000000000000455,6.960000000000036,30.524672321845117,475696.72295893077,4399679,182.4919024398987,-194.4388857246951,41.32796435889906,60078.946272518464,55483.35372748154,56584.0,57781.0,55308.0,55308.0
2007-03-16,55215,56095,54825,55607,731916,1.0668847691748455,944.8,0.03176283748014341,2372.66,-0.25392020851725583,587,0.2999999999999545,-6.039999999999964,30.90121826218872,645132.3953998757,5131595,59.56057548868557,-165.1364211318157,44.56011267088723,60111.58758685696,55177.11241314304,56134.0,57644.0,55314.0,55314.0
2007-03-19,55900,57463,55802,56389,885309,1.4062977682665851,943.6,-0.12701100762065326,2394.41,0.916692657186449,782,-1.1999999999999318,21.75,36.6200338971469,385562.56818735314,6016904,24.949871176606393,-75.12695824212388,48.620810805937865,60087.922157574016,55044.47784242598,55959.0,57566.0,55335.0,55335.0
2007-03-20,56779,59027,56681,58636,1587448,3.984819734345351,941.65,-0.2066553624417174,2408.21,0.5763423975008534,2247,-1.9500000000000455,13.800000000000182,38.94098730642957,1443861.2348540197,7604352,176.79675673065503,37.37158986940403,58.11428729766747,60152.39862919901,55038.60137080099,56310.0,57596.0,55398.0,55398.0
2007-03-21,58636,59711,58147,58441,1346983,-0.33256020192373287,937.95,-0.3929273084479299,2455.92,1.9811395185635818,-195,-3.699999999999932,47.710000000000036,47.54568141284277,603288.7233450684,6257369,278.1947809484336,76.85396649040861,57.12777709609503,60217.96659419443,55051.233405805564,56819.0,57635.0,55456.0,55456.0
2007-03-22,59222,59320,58245,58441,611437,0.0,937.95,0.0,2451.74,-0.1702009837454107,0,0.0,-4.180000000000291,52.930227030004346,214812.9363683242,6868806,354.46736652136315,69.29290243705638,57.12777709609503,60206.54986757082,55052.85013242917,57503.0,57630.0,55511.0,55511.0
2007-03-23,58147,59027,57952,58539,438440,0.16769049126469432,937.4,-0.05863852017698899,2448.93,-0.11461247930041299,98,-0.5500000000000682,-2.8099999999999454,56.05395046470123,255190.20148460328,7307246,418.0032399301126,63.56603994424393,57.54780643948058,60047.49746366394,55114.20253633606,58089.0,57581.0,55566.0,55566.0
